area,item,element,year,unit,value,flag
Lesotho,Maize (corn),Yield,2013,kg/ha,822.7,A
Lesotho,Maize (corn),Area harvested,2014,ha,132727,A
Lesotho,Maize (corn),Production,2014,t,90072,A
Lesotho,Maize (corn),Yield,2014,kg/ha,678.6,A
Lesotho,Maize (corn),Area harvested,2015,ha,99884,A
Lesotho,Maize (corn),Production,2015,t,65636,A
Lesotho,Maize (corn),Yield,2015,kg/ha,657.1,A
Lesotho,Maize (corn),Area harvested,2016,ha,40981,A
Lesotho,Maize (corn),Production,2016,t,19181,A
Lesotho,Maize (corn),Yield,2016,kg/ha,468,A
Lesotho,Maize (corn),Area harvested,2017,ha,165882,A
Lesotho,Maize (corn),Production,2017,t,172666,A
Lesotho,Maize (corn),Yield,2017,kg/ha,1040.9,A
Lesotho,Maize (corn),Area harvested,2018,ha,126564,A
Lesotho,Maize (corn),Production,2018,t,109912,A
Lesotho,Maize (corn),Yield,2018,kg/ha,868.4,A
Lesotho,Maize (corn),Area harvested,2019,ha,32026,A
Lesotho,Maize (corn),Production,2019,t,24621,A
Lesotho,Maize (corn),Yield,2019,kg/ha,768.8,A
Lesotho,Maize (corn),Area harvested,2020,ha,47669,A
Lesotho,Maize (corn),Production,2020,t,21782,A
Lesotho,Maize (corn),Yield,2020,kg/ha,456.9,A
Lesotho,Maize (corn),Area harvested,2021,ha,86379,A
Lesotho,Maize (corn),Production,2021,t,88553,A
Lesotho,Maize (corn),Yield,2021,kg/ha,1025.2,A
Lesotho,Maize (corn),Area harvested,2022,ha,89602,A
Lesotho,Maize (corn),Production,2022,t,72096,A
Lesotho,Maize (corn),Yield,2022,kg/ha,804.6,A
Malawi,Maize (corn),Area harvested,1990,ha,1343784,A
Malawi,Maize (corn),Production,1990,t,1342809,A
Malawi,Maize (corn),Yield,1990,kg/ha,999.3,A
Malawi,Maize (corn),Area harvested,1991,ha,1391878,A
Malawi,Maize (corn),Production,1991,t,1589377,A
Malawi,Maize (corn),Yield,1991,kg/ha,1141.9,A
Malawi,Maize (corn),Area harvested,1992,ha,1368093,A
Malawi,Maize (corn),Production,1992,t,657000,A
Malawi,Maize (corn),Yield,1992,kg/ha,480.2,A
Malawi,Maize (corn),Area harvested,1993,ha,1327040,A
Malawi,Maize (corn),Production,1993,t,2033957,A
Malawi,Maize (corn),Yield,1993,kg/ha,1532.7,A
Malawi,Maize (corn),Area harvested,1994,ha,1129316,A
Malawi,Maize (corn),Production,1994,t,1040000,A
Malawi,Maize (corn),Yield,1994,kg/ha,920.9,A
Malawi,Maize (corn),Area harvested,1995,ha,1229187,A
